topic,type,message_file,interface_file,status
/fmu/in/vehicle_command,px4_msgs/msg/VehicleCommand,messages/fmu_in_vehicle_command.msg.txt,interfaces/fmu_in_vehicle_command.interface.txt,ok
/fmu/in/vehicle_command_mode_executor,px4_msgs/msg/VehicleCommand,messages/fmu_in_vehicle_command_mode_executor.msg.txt,interfaces/fmu_in_vehicle_command_mode_executor.interface.txt,no_message_timeout_or_error
/fmu/in/vehicle_mocap_odometry,px4_msgs/msg/VehicleOdometry,messages/fmu_in_vehicle_mocap_odometry.msg.txt,interfaces/fmu_in_vehicle_mocap_odometry.interface.txt,no_message_timeout_or_error
/fmu/in/vehicle_rates_setpoint,px4_msgs/msg/VehicleRatesSetpoint,messages/fmu_in_vehicle_rates_setpoint.msg.txt,interfaces/fmu_in_vehicle_rates_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/vehicle_thrust_setpoint,px4_msgs/msg/VehicleThrustSetpoint,messages/fmu_in_vehicle_thrust_setpoint.msg.txt,interfaces/fmu_in_vehicle_thrust_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/vehicle_torque_setpoint,px4_msgs/msg/VehicleTorqueSetpoint,messages/fmu_in_vehicle_torque_setpoint.msg.txt,interfaces/fmu_in_vehicle_torque_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/vehicle_visual_odometry,px4_msgs/msg/VehicleOdometry,messages/fmu_in_vehicle_visual_odometry.msg.txt,interfaces/fmu_in_vehicle_visual_odometry.interface.txt,no_message_timeout_or_error
/fmu/out/airspeed_validated_v1,px4_msgs/msg/AirspeedValidated,messages/fmu_out_airspeed_validated_v1.msg.txt,interfaces/fmu_out_airspeed_validated_v1.interface.txt,no_message_timeout_or_error
/fmu/out/arming_check_request_v1,px4_msgs/msg/ArmingCheckRequest,messages/fmu_out_arming_check_request_v1.msg.txt,interfaces/fmu_out_arming_check_request_v1.interface.txt,no_message_timeout_or_error
/fmu/out/battery_status_v1,px4_msgs/msg/BatteryStatus,messages/fmu_out_battery_status_v1.msg.txt,interfaces/fmu_out_battery_status_v1.interface.txt,no_message_timeout_or_error
/fmu/out/collision_constraints,px4_msgs/msg/CollisionConstraints,messages/fmu_out_collision_constraints.msg.txt,interfaces/fmu_out_collision_constraints.interface.txt,no_message_timeout_or_error
/fmu/out/estimator_status_flags,px4_msgs/msg/EstimatorStatusFlags,messages/fmu_out_estimator_status_flags.msg.txt,interfaces/fmu_out_estimator_status_flags.interface.txt,no_message_timeout_or_error
/fmu/out/failsafe_flags,px4_msgs/msg/FailsafeFlags,messages/fmu_out_failsafe_flags.msg.txt,interfaces/fmu_out_failsafe_flags.interface.txt,no_message_timeout_or_error
/fmu/out/gimbal_device_attitude_status,px4_msgs/msg/GimbalDeviceAttitudeStatus,messages/fmu_out_gimbal_device_attitude_status.msg.txt,interfaces/fmu_out_gimbal_device_attitude_status.interface.txt,no_message_timeout_or_error
/fmu/out/home_position_v1,px4_msgs/msg/HomePosition,messages/fmu_out_home_position_v1.msg.txt,interfaces/fmu_out_home_position_v1.interface.txt,no_message_timeout_or_error
/fmu/out/manual_control_setpoint,px4_msgs/msg/ManualControlSetpoint,messages/fmu_out_manual_control_setpoint.msg.txt,interfaces/fmu_out_manual_control_setpoint.interface.txt,no_message_timeout_or_error
/fmu/out/message_format_response,px4_msgs/msg/MessageFormatResponse,messages/fmu_out_message_format_response.msg.txt,interfaces/fmu_out_message_format_response.interface.txt,no_message_timeout_or_error
/fmu/out/mode_completed,px4_msgs/msg/ModeCompleted,messages/fmu_out_mode_completed.msg.txt,interfaces/fmu_out_mode_completed.interface.txt,no_message_timeout_or_error
/fmu/out/position_setpoint_triplet,px4_msgs/msg/PositionSetpointTriplet,messages/fmu_out_position_setpoint_triplet.msg.txt,interfaces/fmu_out_position_setpoint_triplet.interface.txt,no_message_timeout_or_error
/fmu/out/register_ext_component_reply,px4_msgs/msg/RegisterExtComponentReply,messages/fmu_out_register_ext_component_reply.msg.txt,interfaces/fmu_out_register_ext_component_reply.interface.txt,no_message_timeout_or_error
/fmu/out/sensor_combined,px4_msgs/msg/SensorCombined,messages/fmu_out_sensor_combined.msg.txt,interfaces/fmu_out_sensor_combined.interface.txt,no_message_timeout_or_error
/fmu/out/timesync_status,px4_msgs/msg/TimesyncStatus,messages/fmu_out_timesync_status.msg.txt,interfaces/fmu_out_timesync_status.interface.txt,no_message_timeout_or_error
/fmu/out/transponder_report,px4_msgs/msg/TransponderReport,messages/fmu_out_transponder_report.msg.txt,interfaces/fmu_out_transponder_report.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_attitude,px4_msgs/msg/VehicleAttitude,messages/fmu_out_vehicle_attitude.msg.txt,interfaces/fmu_out_vehicle_attitude.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_command_ack,px4_msgs/msg/VehicleCommandAck,messages/fmu_out_vehicle_command_ack.msg.txt,interfaces/fmu_out_vehicle_command_ack.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_control_mode,px4_msgs/msg/VehicleControlMode,messages/fmu_out_vehicle_control_mode.msg.txt,interfaces/fmu_out_vehicle_control_mode.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_global_position,px4_msgs/msg/VehicleGlobalPosition,messages/fmu_out_vehicle_global_position.msg.txt,interfaces/fmu_out_vehicle_global_position.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_gps_position,px4_msgs/msg/SensorGps,messages/fmu_out_vehicle_gps_position.msg.txt,interfaces/fmu_out_vehicle_gps_position.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_land_detected,px4_msgs/msg/VehicleLandDetected,messages/fmu_out_vehicle_land_detected.msg.txt,interfaces/fmu_out_vehicle_land_detected.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_local_position_v1,px4_msgs/msg/VehicleLocalPosition,messages/fmu_out_vehicle_local_position_v1.msg.txt,interfaces/fmu_out_vehicle_local_position_v1.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_odometry,px4_msgs/msg/VehicleOdometry,messages/fmu_out_vehicle_odometry.msg.txt,interfaces/fmu_out_vehicle_odometry.interface.txt,no_message_timeout_or_error
/fmu/out/vehicle_status_v1,px4_msgs/msg/VehicleStatus,messages/fmu_out_vehicle_status_v1.msg.txt,interfaces/fmu_out_vehicle_status_v1.interface.txt,no_message_timeout_or_error
/fmu/out/vtol_vehicle_status,px4_msgs/msg/VtolVehicleStatus,messages/fmu_out_vtol_vehicle_status.msg.txt,interfaces/fmu_out_vtol_vehicle_status.interface.txt,no_message_timeout_or_error
/fmu/out/wind,px4_msgs/msg/Wind,messages/fmu_out_wind.msg.txt,interfaces/fmu_out_wind.interface.txt,no_message_timeout_or_error
